segment_id,date_local,uptime,ped_lft,ped_rgt,ped_total,bike_lft,bike_rgt,bike_total,car_lft,car_rgt,car_total,heavy_lft,heavy_rgt,heavy_total,v85,car_speed0,car_speed10,car_speed20,car_speed30,car_speed40,car_speed50,car_speed60,car_speed70
9000008823,2025-05-27 20:00,0.624167,4,8,12,74,69,143,56,51,107,0,0,0,34.0,11.94,20.9,43.28,16.42,4.48,1.49,2.99,0.0
9000008823,2025-05-28 05:00,0.325,2,0,2,2,0,2,11,13,24,0,0,0,29.0,0.0,12.5,100.0,0.0,0.0,0.0,0.0,0.0
9000008823,2025-05-28 06:00,0.728611,8,1,9,14,9,24,26,18,44,0,0,0,34.0,12.5,25.0,40.62,18.75,3.12,0.0,0.0,0.0
9000008823,2025-05-28 07:00,0.715833,14,10,24,58,28,87,67,31,98,0,0,0,33.0,7.14,21.43,50.0,17.14,4.29,0.0,0.0,1.43
9000008823,2025-05-28 08:00,0.788889,20,4,24,99,52,151,95,51,146,0,0,0,29.5,6.96,29.57,51.3,10.43,0.87,0.87,0.0,0.0
9000008823,2025-05-28 09:00,0.778889,18,9,27,40,36,76,111,80,190,0,0,0,31.0,10.14,29.73,43.24,15.54,0.68,0.68,0.0,0.0
9000008823,2025-05-28 10:00,0.782778,10,4,14,36,27,63,133,69,202,0,0,0,29.5,16.46,29.75,39.87,10.76,3.16,0.0,0.0,0.0
9000008823,2025-05-28 11:00,0.714444,4,4,8,50,38,88,120,86,206,0,0,0,29.0,17.01,25.17,46.26,9.52,1.36,0.0,0.68,0.0
9000008823,2025-05-28 12:00,0.726944,10,7,17,48,58,106,55,69,125,0,0,0,32.0,14.29,18.68,48.35,14.29,4.4,0.0,0.0,0.0
9000008823,2025-05-28 13:00,0.713611,7,7,14,62,60,122,67,106,173,0,0,0,32.5,9.68,22.58,47.58,17.74,2.42,0.0,0.0,0.0
9000008823,2025-05-28 14:00,0.752222,4,3,7,48,57,105,71,118,189,0,0,0,33.0,11.97,28.87,36.62,16.9,2.11,1.41,1.41,0.7
9000008823,2025-05-28 15:00,0.689722,10,9,19,50,62,111,108,83,191,0,0,0,33.0,15.15,21.97,39.39,19.7,2.27,0.76,0.76,0.0
9000008823,2025-05-28 16:00,0.692222,3,4,7,70,63,133,91,54,146,0,0,0,29.5,16.83,32.67,38.61,10.89,0.99,0.0,0.0,0.99
9000008823,2025-05-28 17:00,0.673889,4,5,9,84,69,153,108,79,187,0,0,0,29.0,24.6,37.3,25.4,7.94,2.38,0.79,0.0,1.59
9000008823,2025-05-28 18:00,0.726389,0,8,8,73,68,142,109,83,192,0,0,0,30.5,25.0,32.14,27.14,15.0,0.0,0.0,0.0,0.71
9000008823,2025-05-28 19:00,0.682778,1,10,11,55,72,127,72,39,111,0,0,0,26.5,30.26,38.16,28.95,3.95,0.0,0.0,0.0,0.0
9000008823,2025-05-28 20:00,0.776389,0,4,4,59,66,125,65,59,124,0,0,0,29.5,13.54,33.33,40.62,11.46,0.0,1.04,0.0,0.0
9000008823,2025-05-28 21:00,0.080278,0,12,12,37,50,87,87,25,112,0,0,0,31.5,22.22,11.11,44.44,22.22,0.0,0.0,0.0,0.0
9000008823,2025-05-29 05:00,0.676389,1,0,1,1,1,3,8,15,23,0,0,0,34.0,6.67,20.0,26.67,46.67,0.0,0.0,0.0,0.0
9000008823,2025-05-29 06:00,0.779167,0,0,0,9,1,10,8,10,18,0,0,0,35.0,7.14,28.57,21.43,28.57,14.29,0.0,0.0,0.0
9000008823,2025-05-29 07:00,0.788889,0,0,0,8,6,14,11,11,23,0,0,0,61.5,5.56,22.22,44.44,11.11,0.0,0.0,5.56,11.11
9000008823,2025-05-29 08:00,0.621389,1,0,1,7,11,18,37,7,44,0,0,0,27.5,48.15,25.93,14.81,7.41,0.0,0.0,0.0,0.0
9000008823,2025-05-29 09:00,0.614444,2,2,3,48,21,69,11,23,34,0,0,0,30.0,19.05,23.81,47.62,14.29,0.0,0.0,0.0,0.0
9000008823,2025-05-29 10:00,0.6875,0,3,3,29,22,51,22,18,40,0,0,0,27.5,18.52,40.74,29.63,7.41,0.0,3.7,0.0,0.0
9000008823,2025-05-29 11:00,0.681944,3,6,9,34,44,78,22,52,74,0,0,0,31.5,28.0,30.0,24.0,14.0,4.0,0.0,0.0,0.0
9000008823,2025-05-29 12:00,0.646944,3,11,14,28,51,79,34,49,83,0,0,0,29.5,40.74,9.26,37.04,9.26,1.85,1.85,0.0,0.0
9000008823,2025-05-29 13:00,0.666111,0,10,10,32,65,97,43,45,88,0,0,0,32.0,22.03,28.81,28.81,18.64,1.69,0.0,0.0,0.0
9000008823,2025-05-29 14:00,0.618889,11,9,20,88,66,155,42,49,91,0,0,0,31.5,25.0,28.57,30.36,10.71,5.36,1.79,0.0,0.0
9000008823,2025-05-29 15:00,0.634722,8,3,11,75,61,135,39,62,101,0,0,0,29.0,12.5,26.56,53.12,7.81,0.0,0.0,0.0,0.0
9000008823,2025-05-29 16:00,0.548333,2,2,3,61,68,129,30,29,59,0,0,0,31.0,21.21,36.36,24.24,12.12,6.06,0.0,0.0,0.0
9000008823,2025-05-29 17:00,0.521111,6,6,13,108,71,179,47,46,93,0,0,0,30.5,33.33,22.92,27.08,12.5,2.08,0.0,0.0,0.0
9000008823,2025-05-29 18:00,0.748333,3,7,9,95,121,215,59,71,130,0,0,0,31.0,9.28,23.71,49.48,16.49,1.03,0.0,0.0,0.0
9000008823,2025-05-29 19:00,0.790278,1,9,10,99,125,224,53,76,129,0,0,0,34.0,9.8,22.55,43.14,18.63,3.92,0.98,0.0,0.98
9000008823,2025-05-29 20:00,0.659722,11,3,13,42,63,105,56,81,138,0,0,0,34.0,3.3,17.58,56.04,17.58,5.49,0.0,0.0,2.2
9000008823,2025-05-29 21:00,0.110833,9,0,9,18,63,81,54,63,117,0,0,0,32.5,7.69,23.08,46.15,15.38,7.69,0.0,0.0,0.0
9000008823,2025-05-30 05:00,0.379167,2,0,2,5,2,7,9,10,19,0,0,0,34.0,14.29,14.29,42.86,42.86,14.29,0.0,0.0,0.0
9000008823,2025-05-30 06:00,0.799444,1,1,2,7,4,11,21,14,35,0,0,0,32.5,0.0,17.86,57.14,21.43,3.57,0.0,0.0,0.0
9000008823,2025-05-30 07:00,0.799167,12,0,12,25,12,38,39,17,56,0,0,0,34.0,6.67,17.78,48.89,24.44,0.0,0.0,0.0,2.22
9000008823,2025-05-30 08:00,0.784722,9,3,11,32,13,45,59,40,98,0,0,0,30.5,6.49,32.47,45.45,12.99,2.6,0.0,0.0,0.0
9000008823,2025-05-30 09:00,0.794444,13,1,14,40,33,73,62,49,111,0,0,0,30.0,12.5,29.55,43.18,12.5,1.14,0.0,0.0,1.14
