segment_id,date_local,uptime,ped_lft,ped_rgt,ped_total,bike_lft,bike_rgt,bike_total,car_lft,car_rgt,car_total,heavy_lft,heavy_rgt,heavy_total,v85,car_speed0,car_speed10,car_speed20,car_speed30,car_speed40,car_speed50,car_speed60,car_speed70
9000004561,2022-12-16 08:00,0.382778,5,5,10,16,21,37,16,21,37,0,0,0,45.0,7.14,57.14,0.0,14.29,14.29,7.14,0.0,0.0
9000004561,2022-12-16 09:00,0.7925,4,4,8,9,16,25,13,26,39,0,0,0,24.0,25.81,48.39,12.9,6.45,6.45,0.0,0.0,0.0
9000004561,2022-12-16 10:00,0.804167,0,5,5,12,14,26,7,14,21,0,0,0,40.0,11.76,23.53,35.29,5.88,23.53,0.0,0.0,0.0
9000004561,2022-12-16 11:00,0.796667,3,3,5,16,19,35,10,11,21,0,0,0,30.0,5.88,41.18,29.41,17.65,5.88,0.0,0.0,0.0
9000004561,2022-12-16 12:00,0.777222,4,4,8,30,24,54,19,26,45,0,0,0,23.5,14.29,57.14,20.0,5.71,2.86,0.0,0.0,0.0
9000004561,2022-12-16 13:00,0.786944,8,14,22,33,32,65,24,38,62,0,0,0,19.5,12.24,69.39,12.24,6.12,0.0,0.0,0.0,0.0
9000004561,2022-12-16 14:00,0.802222,6,10,16,16,21,37,30,25,55,0,0,0,23.0,18.18,59.09,22.73,0.0,0.0,0.0,0.0,0.0
9000004561,2022-12-16 15:00,0.505833,10,4,14,45,45,91,24,26,49,0,0,0,21.0,16.0,52.0,28.0,4.0,0.0,0.0,0.0,0.0
9000004561,2022-12-17 08:00,0.271944,7,0,7,0,11,11,15,15,29,0,0,0,21.5,25.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0
9000004561,2022-12-17 09:00,0.806667,7,10,17,14,26,40,11,11,22,0,0,0,19.0,16.67,66.67,11.11,5.56,0.0,0.0,0.0,0.0
9000004561,2022-12-17 10:00,0.799444,13,8,20,10,31,41,11,9,20,0,0,0,22.0,12.5,56.25,25.0,0.0,6.25,0.0,0.0,0.0
9000004561,2022-12-17 11:00,0.796667,9,15,24,14,18,31,16,20,36,0,0,0,22.5,31.03,31.03,34.48,3.45,0.0,0.0,0.0,0.0
9000004561,2022-12-17 12:00,0.795278,9,11,20,15,21,36,14,19,33,0,0,0,22.5,0.0,57.69,38.46,0.0,3.85,0.0,0.0,0.0
9000004561,2022-12-17 13:00,0.806111,10,9,19,17,19,36,10,14,24,0,0,0,21.5,10.53,57.89,26.32,0.0,5.26,0.0,0.0,0.0
9000004561,2022-12-17 14:00,0.796944,3,11,14,26,18,44,15,25,40,0,0,0,23.0,12.5,53.12,31.25,3.12,0.0,0.0,0.0,0.0
9000004561,2022-12-17 15:00,0.466389,13,2,15,13,21,34,11,19,30,0,0,0,20.5,7.14,64.29,28.57,0.0,0.0,0.0,0.0,0.0
