segment_id,date_local,uptime,ped_lft,ped_rgt,ped_total,bike_lft,bike_rgt,bike_total,car_lft,car_rgt,car_total,heavy_lft,heavy_rgt,heavy_total,v85,car_speed0,car_speed10,car_speed20,car_speed30,car_speed40,car_speed50,car_speed60,car_speed70
9000008121,2025-02-12 10:00,0.231389,4,0,4,13,4,17,298,186,484,35,17,52,35.0,4.46,17.86,46.43,25.0,5.36,0.89,0.0,0.0
9000008121,2025-02-12 11:00,0.843333,3,2,5,4,6,10,336,209,545,32,37,69,42.5,1.96,8.28,47.06,25.05,9.59,4.79,1.74,1.96
9000008121,2025-02-12 12:00,0.999444,12,16,28,2,12,14,258,227,485,25,44,69,46.5,2.27,9.28,37.73,26.39,12.99,6.19,2.27,2.89
9000008121,2025-02-12 13:00,0.793056,26,37,63,2,11,13,534,235,769,58,28,86,51.5,2.62,10.98,34.43,25.9,9.67,9.02,3.77,3.77
9000008121,2025-02-12 14:00,1.0,21,45,66,3,22,25,657,273,930,75,36,111,47.5,3.66,16.67,36.34,19.68,10.22,6.88,3.98,2.58
9000008121,2025-02-12 15:00,0.999722,33,39,72,3,17,20,689,305,994,46,26,72,46.0,2.01,16.9,40.14,17.4,12.27,6.24,2.92,2.11
9000008121,2025-02-12 16:00,0.886944,26,34,60,5,23,27,522,291,812,17,13,30,43.5,1.94,20.53,38.7,19.28,10.68,3.88,2.5,2.64
9000008121,2025-02-12 17:00,0.485556,8,0,8,0,3,3,143,74,217,8,2,10,49.5,1.9,19.05,57.14,5.71,1.9,11.43,0.0,3.81
9000008121,2025-02-12 18:00,0.2425,0,0,0,0,2,2,7,9,16,0,0,0,63.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
9000008121,2025-02-12 19:00,0.441111,0,0,0,0,0,0,2,0,2,0,1,1,24.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
9000008121,2025-02-12 20:00,0.214167,0,0,0,0,0,0,7,8,15,0,0,0,55.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0
9000008121,2025-02-12 21:00,0.441389,0,0,0,0,2,2,0,2,2,0,0,0,9.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000008121,2025-02-12 22:00,0.761944,0,0,0,0,0,0,18,6,24,0,3,3,47.0,0.0,11.11,38.89,27.78,22.22,5.56,0.0,0.0
9000008121,2025-02-12 23:00,0.500833,0,0,0,1,35,36,23,5,28,1,0,1,47.5,7.14,0.0,28.57,35.71,21.43,0.0,7.14,7.14
9000008121,2025-02-13 00:00,0.845556,1,0,1,1,0,1,14,12,26,2,1,3,38.5,13.64,18.18,36.36,18.18,9.09,4.55,0.0,0.0
9000008121,2025-02-13 01:00,0.647778,0,0,0,0,0,0,2,1,3,0,0,0,28.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0
9000008121,2025-02-13 02:00,0.497778,0,0,0,0,0,0,3,2,5,0,3,3,28.5,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
9000008121,2025-02-13 03:00,0.201944,0,0,0,0,0,0,0,3,3,0,3,3,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000008121,2025-02-13 04:00,0.418056,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000008121,2025-02-13 05:00,0.3975,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000008121,2025-02-13 06:00,0.22,0,0,0,0,0,0,3,0,3,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000008121,2025-02-13 07:00,0.402778,2,0,2,0,0,0,200,249,450,37,38,76,34.5,20.44,16.57,32.04,21.55,6.08,1.66,0.0,1.66
9000008121,2025-02-13 08:00,0.863333,4,1,5,0,0,0,340,302,641,36,58,94,38.5,14.62,7.58,39.35,25.45,8.12,2.35,1.26,1.44
9000008121,2025-02-13 09:00,0.763333,1,1,2,0,0,0,229,213,441,95,75,171,44.5,14.54,5.04,27.6,29.67,13.06,6.53,1.48,2.67
9000008121,2025-02-13 10:00,0.882778,5,4,9,0,0,0,240,201,441,20,40,60,43.5,17.69,12.31,25.13,23.33,14.62,5.64,0.51,1.03
9000008121,2025-02-13 11:00,0.999444,3,5,8,0,0,0,272,240,512,26,48,74,48.0,16.8,6.05,31.84,20.31,12.7,6.25,4.49,1.56
9000008121,2025-02-13 12:00,0.846667,5,13,18,0,1,1,253,250,503,26,52,77,44.5,18.31,5.16,31.22,23.71,10.56,6.34,2.82,2.11
9000008121,2025-02-13 13:00,0.999722,9,11,20,0,0,0,306,320,626,34,48,82,44.5,25.88,6.07,25.72,21.57,9.42,6.55,3.19,1.6
9000008121,2025-02-13 14:00,0.999444,9,10,19,0,1,1,337,290,627,18,44,62,47.5,20.73,5.58,29.51,21.05,10.69,6.86,2.87,2.71
9000008121,2025-02-13 15:00,0.976389,3,20,23,0,1,1,563,426,989,40,38,77,44.5,19.05,5.9,33.85,21.12,9.73,4.87,2.48,3.21
9000008121,2025-02-13 16:00,0.859444,2,10,12,1,1,2,571,393,964,34,19,53,39.0,16.43,9.9,38.53,21.74,6.88,2.78,1.33,2.17
9000008121,2025-02-13 17:00,0.221111,0,0,0,0,0,0,137,150,287,2,0,2,35.0,53.97,3.17,22.22,6.35,0.0,14.29,0.0,0.0
9000008121,2025-02-13 18:00,0.455278,0,0,0,0,0,0,10,10,20,2,0,2,58.5,22.22,22.22,0.0,11.11,22.22,33.33,0.0,11.11
9000008121,2025-02-13 19:00,0.264167,0,0,0,0,0,0,36,0,36,4,32,36,29.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
9000008121,2025-02-13 20:00,0.785,0,0,0,1,0,1,2,12,14,0,0,0,15.0,36.36,45.45,0.0,9.09,9.09,0.0,0.0,0.0
9000008121,2025-02-13 21:00,0.425833,0,0,0,0,0,0,10,5,15,0,0,0,45.5,16.67,16.67,33.33,16.67,16.67,0.0,0.0,0.0
9000008121,2025-02-13 22:00,0.434167,0,0,0,0,0,0,1,2,3,0,2,2,33.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
9000008121,2025-02-13 23:00,0.591111,0,0,0,0,0,0,9,5,14,0,1,1,33.5,25.0,25.0,25.0,37.5,0.0,0.0,0.0,0.0
9000008121,2025-02-14 00:00,0.514722,0,0,0,0,0,0,5,5,11,0,1,1,32.0,0.0,50.0,50.0,33.33,0.0,0.0,0.0,0.0
9000008121,2025-02-14 01:00,0.571389,0,0,0,0,0,0,3,3,6,0,0,0,31.0,0.0,33.33,66.67,33.33,0.0,0.0,0.0,0.0
9000008121,2025-02-14 02:00,0.670833,0,0,0,0,0,0,0,3,3,0,1,1,19.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
9000008121,2025-02-14 03:00,0.793056,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000008121,2025-02-14 04:00,0.545833,0,0,0,0,0,0,10,3,13,0,0,0,24.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
9000008121,2025-02-14 05:00,0.183333,0,0,0,0,0,0,4,0,4,0,0,0,14.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
