segment_id,date_local,uptime,pedestrian_lft,pedestrian_rgt,pedestrian_total,bike_lft,bike_rgt,bike_total,car_lft,car_rgt,car_total,heavy_lft,heavy_rgt,heavy_total,v85,car_speed0,car_speed10,car_speed20,car_speed30,car_speed40,car_speed50,car_speed60,car_speed70
9000006244,2023-12-27 10:00,0.999444,3,1,4,1,7,8,176,160,336,38,19,57,33.5,0.89,4.76,47.62,42.56,3.27,0.6,0.3,0.0
9000006244,2023-12-27 11:00,0.999444,17,5,22,3,6,9,193,238,431,22,7,29,31.5,1.16,4.64,59.16,32.48,2.55,0.0,0.0,0.0
9000006244,2023-12-27 12:00,0.999167,8,5,13,0,6,6,251,219,470,38,22,60,32.5,1.06,5.53,50.21,39.36,3.83,0.0,0.0,0.0
9000006244,2023-12-27 13:00,0.999722,15,2,17,3,9,12,170,259,429,8,10,18,30.5,0.93,5.36,64.57,26.81,2.33,0.0,0.0,0.0
9000006244,2023-12-27 14:00,0.999722,1,4,5,3,7,10,249,240,489,15,13,28,30.0,0.41,8.59,66.05,23.52,1.23,0.2,0.0,0.0
9000006244,2023-12-27 15:00,0.999722,2,1,3,2,5,7,212,209,421,3,8,11,30.5,0.24,9.26,62.95,25.65,1.9,0.0,0.0,0.0
9000006244,2023-12-28 08:00,1.0,1,0,1,1,3,4,93,117,210,4,3,7,30.5,9.05,16.19,47.14,25.71,1.9,0.0,0.0,0.0
9000006244,2023-12-28 09:00,0.998889,1,1,2,2,4,6,126,167,293,5,11,16,31.0,1.02,9.56,57.68,30.03,1.37,0.34,0.0,0.0
9000006244,2023-12-28 10:00,0.999444,5,0,5,2,4,6,196,188,384,9,9,18,31.0,0.26,7.03,65.1,25.26,2.34,0.0,0.0,0.0
9000006244,2023-12-28 11:00,0.999722,8,2,10,0,5,5,204,208,412,20,17,37,32.0,1.46,8.98,50.73,35.68,2.91,0.24,0.0,0.0
9000006244,2023-12-28 12:00,0.999444,9,3,12,1,10,11,186,232,418,37,24,61,32.0,0.48,5.02,51.67,40.43,2.15,0.24,0.0,0.0
9000006244,2023-12-28 13:00,0.999444,3,5,8,3,25,28,191,262,453,9,11,20,31.5,1.55,5.3,62.03,28.7,1.99,0.44,0.0,0.0
9000006244,2023-12-28 14:00,0.999167,10,7,17,4,13,17,229,245,474,13,20,33,30.5,0.63,13.08,60.55,24.05,1.48,0.21,0.0,0.0
9000006244,2023-12-28 15:00,0.999722,11,7,18,5,10,15,260,208,468,3,8,11,30.0,1.71,10.26,62.18,24.79,0.64,0.21,0.21,0.0
9000006244,2023-12-29 08:00,0.999444,5,0,5,1,2,3,63,109,172,4,8,12,31.0,5.23,12.79,52.33,29.65,0.0,0.0,0.0,0.0
9000006244,2023-12-29 09:00,0.999722,4,0,4,2,3,5,147,133,280,8,12,20,32.5,1.79,8.93,52.86,34.29,2.14,0.0,0.0,0.0
9000006244,2023-12-29 10:00,0.998889,9,6,15,3,10,13,154,189,343,19,9,28,32.0,1.46,10.5,50.15,35.86,1.75,0.29,0.0,0.0
9000006244,2023-12-29 11:00,0.999722,18,4,22,4,7,11,226,196,422,15,11,26,31.5,1.42,7.35,57.11,31.99,2.13,0.0,0.0,0.0
9000006244,2023-12-29 12:00,0.999444,10,3,13,1,10,11,232,214,446,18,11,29,30.5,1.57,8.07,63.0,25.56,1.57,0.22,0.0,0.0
9000006244,2023-12-29 13:00,0.999722,1,2,3,3,11,14,199,206,405,10,10,20,32.0,1.48,7.41,57.53,30.12,3.21,0.25,0.0,0.0
9000006244,2023-12-29 14:00,0.999167,7,2,9,1,5,6,215,239,454,6,8,14,31.0,2.42,11.23,58.59,26.43,1.32,0.0,0.0,0.0
9000006244,2023-12-29 15:00,0.999444,7,1,8,1,4,5,227,222,449,6,1,7,30.5,3.12,6.9,63.47,25.39,1.11,0.0,0.0,0.0
