segment_id,date_local,uptime,ped_lft,ped_rgt,ped_total,bike_lft,bike_rgt,bike_total,car_lft,car_rgt,car_total,heavy_lft,heavy_rgt,heavy_total,v85,car_speed0,car_speed10,car_speed20,car_speed30,car_speed40,car_speed50,car_speed60,car_speed70
9000008669,2025-05-06 20:00,0.182778,27,11,38,27,38,66,71,77,148,0,0,0,34.5,14.81,37.04,29.63,3.7,0.0,0.0,3.7,11.11
9000008669,2025-05-07 05:00,0.234722,0,7,7,4,5,9,16,21,37,0,0,0,29.0,11.11,33.33,44.44,0.0,0.0,0.0,0.0,11.11
9000008669,2025-05-07 06:00,0.349722,4,8,12,2,16,18,24,36,60,0,0,0,23.5,0.0,66.67,23.81,9.52,0.0,0.0,0.0,0.0
9000008669,2025-05-07 07:00,0.636389,1,39,40,9,31,40,126,66,191,0,0,0,29.0,9.84,42.62,36.07,5.74,0.82,0.82,1.64,3.28
9000008669,2025-05-07 08:00,0.751944,12,20,31,18,45,63,144,67,211,0,0,0,28.5,18.99,40.51,27.85,5.06,0.0,3.16,1.27,3.8
9000008669,2025-05-07 09:00,0.716111,3,1,4,51,41,91,157,63,221,0,0,0,24.0,28.48,44.94,18.35,1.9,0.0,0.63,0.63,4.43
9000008669,2025-05-07 10:00,0.766944,0,9,9,32,55,87,177,89,266,0,0,0,27.0,30.88,44.12,12.75,2.45,1.96,0.49,1.47,5.88
9000008669,2025-05-07 11:00,0.779444,18,14,32,27,48,75,162,105,267,0,0,0,25.0,21.63,49.52,19.23,1.44,0.96,0.96,1.44,4.81
9000008669,2025-05-07 12:00,0.782222,19,18,37,33,46,79,176,146,322,0,0,0,28.0,15.08,47.22,26.19,1.98,1.19,2.38,1.59,4.37
9000008669,2025-05-07 13:00,0.768056,18,27,46,20,70,90,150,157,307,0,0,0,24.5,25.0,44.07,22.46,2.54,0.42,1.69,2.12,1.69
9000008669,2025-05-07 14:00,0.741389,24,9,34,73,160,233,158,85,243,0,0,0,24.0,31.11,41.67,21.11,2.78,0.56,0.56,0.0,2.22
9000008669,2025-05-07 15:00,0.739722,8,8,16,68,210,278,134,47,181,0,0,0,25.0,14.18,52.99,28.36,2.24,0.75,0.0,1.49,0.0
9000008669,2025-05-07 16:00,0.780556,12,17,28,75,174,250,196,60,256,0,0,0,26.0,16.5,50.0,23.5,3.0,2.0,0.5,1.5,3.0
9000008669,2025-05-07 17:00,0.774167,34,21,54,46,94,140,214,119,333,0,0,0,23.5,18.29,55.64,20.62,1.17,0.0,0.78,0.78,2.72
9000008669,2025-05-07 18:00,0.779167,27,28,55,69,66,135,218,148,366,0,0,0,23.0,19.65,56.14,18.6,1.05,0.0,0.35,0.7,3.51
9000008669,2025-05-07 19:00,0.791389,18,11,29,52,35,87,147,111,259,0,0,0,25.0,22.44,49.76,16.1,3.41,0.49,0.49,1.95,5.37
9000008669,2025-05-07 20:00,0.2975,20,10,30,37,20,57,97,118,214,0,0,0,25.0,12.5,54.69,25.0,1.56,1.56,1.56,3.12,1.56
9000008669,2025-05-08 05:00,0.080278,0,0,0,0,0,0,0,12,12,0,0,0,14.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
9000008669,2025-05-08 06:00,0.349167,5,0,5,3,3,5,12,15,26,0,0,0,48.0,0.0,33.33,44.44,0.0,11.11,11.11,0.0,0.0
9000008669,2025-05-08 07:00,0.776389,8,4,11,1,4,5,8,10,18,0,0,0,30.0,0.0,42.86,42.86,7.14,0.0,0.0,0.0,7.14
9000008669,2025-05-08 08:00,0.793889,5,3,8,0,11,11,27,16,44,0,0,0,24.5,14.29,45.71,34.29,0.0,2.86,2.86,0.0,0.0
9000008669,2025-05-08 09:00,0.723056,5,10,15,8,31,40,31,24,54,0,0,0,53.5,12.82,30.77,30.77,5.13,2.56,5.13,2.56,10.26
9000008669,2025-05-08 10:00,0.774722,8,4,12,19,18,37,41,35,76,0,0,0,41.5,42.37,32.2,10.17,0.0,1.69,3.39,1.69,8.47
9000008669,2025-05-08 11:00,0.751944,8,9,17,15,19,33,42,45,87,0,0,0,25.0,34.85,36.36,16.67,0.0,0.0,3.03,3.03,6.06
9000008669,2025-05-08 12:00,0.776667,8,6,14,23,26,49,49,50,99,0,0,0,25.5,29.87,42.86,16.88,3.9,1.3,0.0,2.6,2.6
9000008669,2025-05-08 13:00,0.741389,12,4,16,26,42,67,63,56,120,0,0,0,26.0,28.09,43.82,15.73,4.49,2.25,1.12,0.0,4.49
9000008669,2025-05-08 14:00,0.748611,4,5,9,29,20,49,69,65,134,0,0,0,28.5,16.0,48.0,25.0,2.0,2.0,4.0,1.0,3.0
9000008669,2025-05-08 15:00,0.7625,7,9,16,23,33,56,77,53,130,0,0,0,36.0,18.18,40.4,25.25,3.03,3.03,0.0,1.01,10.1
9000008669,2025-05-08 16:00,0.781389,17,10,27,29,26,55,69,50,120,0,0,0,35.0,11.83,38.71,30.11,8.6,1.08,1.08,1.08,7.53
9000008669,2025-05-08 17:00,0.790833,12,18,30,31,32,62,125,63,188,0,0,0,30.5,14.77,45.64,24.16,4.03,2.01,1.34,2.01,6.04
9000008669,2025-05-08 18:00,0.790833,23,16,39,28,24,52,121,79,200,0,0,0,29.0,10.13,44.94,32.28,3.8,0.0,1.27,1.27,6.33
9000008669,2025-05-08 19:00,0.793889,19,11,30,37,34,70,91,57,147,0,0,0,36.0,10.26,45.3,24.79,5.98,2.56,1.71,2.56,6.84
