segment_id,date_local,uptime,ped_lft,ped_rgt,ped_total,bike_lft,bike_rgt,bike_total,car_lft,car_rgt,car_total,heavy_lft,heavy_rgt,heavy_total,v85,car_speed0,car_speed10,car_speed20,car_speed30,car_speed40,car_speed50,car_speed60,car_speed70
9000004118,2022-08-21 12:00,0.788056,5,5,10,66,53,119,74,67,141,0,0,0,33.5,2.7,18.92,42.34,25.23,5.41,2.7,1.8,0.9
9000004118,2022-08-21 13:00,0.716111,7,8,15,89,46,135,68,52,120,0,0,0,32.5,13.95,16.28,43.02,15.12,5.81,3.49,1.16,1.16
9000004118,2022-08-21 14:00,0.745,13,5,19,109,59,168,75,39,114,0,0,0,32.0,27.06,17.65,25.88,23.53,3.53,0.0,2.35,0.0
9000004118,2022-08-21 15:00,0.763056,1,7,8,42,31,73,67,51,118,0,0,0,51.0,10.0,3.33,31.11,25.56,13.33,5.56,3.33,7.78
9000004118,2022-08-21 16:00,0.779167,5,0,5,64,42,107,80,55,135,0,0,0,46.5,1.9,2.86,33.33,31.43,17.14,2.86,0.95,9.52
9000004118,2022-08-21 17:00,0.784722,17,3,19,107,60,167,97,76,173,0,0,0,38.5,6.62,5.88,41.91,30.15,2.94,5.88,3.68,2.94
9000004118,2022-08-21 18:00,0.786944,6,9,15,100,58,159,86,98,184,0,0,0,41.0,1.38,8.97,44.83,26.21,6.9,1.38,3.45,6.9
9000004118,2022-08-21 19:00,0.794444,1,5,6,102,64,166,103,92,195,0,0,0,37.5,1.94,12.26,47.1,23.87,7.74,5.16,0.65,1.29
9000004118,2022-08-21 20:00,0.226944,0,9,9,88,44,132,71,93,163,0,0,0,32.0,2.7,16.22,43.24,29.73,2.7,0.0,2.7,2.7
9000004118,2022-08-22 06:00,0.591389,2,0,2,32,7,39,51,30,81,0,0,0,46.5,4.17,10.42,35.42,18.75,16.67,6.25,2.08,6.25
9000004118,2022-08-22 07:00,0.800833,5,2,7,57,35,92,70,57,127,0,0,0,42.5,5.88,14.71,33.33,24.51,9.8,3.92,3.92,3.92
9000004118,2022-08-22 08:00,0.795,5,9,14,103,73,176,102,116,218,0,0,0,40.5,5.78,15.61,36.42,24.86,8.67,4.05,2.31,2.31
9000004118,2022-08-22 09:00,0.789444,0,10,10,84,77,161,87,91,179,0,0,0,39.5,6.38,19.86,39.72,17.02,9.22,4.26,2.13,1.42
9000004118,2022-08-22 10:00,0.788333,1,5,6,71,48,119,107,105,212,0,0,0,35.5,8.98,28.74,38.32,10.78,6.59,3.59,1.8,1.2
9000004118,2022-08-22 11:00,0.785556,0,3,3,69,52,121,163,92,255,0,0,0,35.5,5.0,30.5,35.5,16.0,5.5,6.0,0.5,1.0
9000004118,2022-08-22 12:00,0.755278,1,0,1,49,37,86,134,122,256,0,0,0,32.5,16.58,26.42,31.09,15.03,6.74,1.55,1.55,1.04
9000004118,2022-08-22 13:00,0.773889,3,6,9,76,50,127,92,87,178,0,0,0,31.5,12.32,34.06,33.33,13.04,2.9,0.0,2.9,1.45
9000004118,2022-08-22 14:00,0.776389,8,8,15,112,73,185,100,66,166,0,0,0,35.5,9.3,18.6,40.31,20.16,3.88,3.88,1.55,2.33
